# Path 1
path1
0.5,0
0.2,0.4
0.17,0.44
0.16,0.5
0.17.0.56
0.2,0.6
0.23,0.63
0.28,0.65
0.33,0.63
0.36,0.6
0.38,0.56
0.39,0.5
0.39,0.46
0.39,0.42
0.41,0.39
0.42,0.36

# Path 2
path2
0.5, 0
0.8, 0.4
0.83, 0.44
0.84, 0.5
0.83, 0.56
0.8, 0.6
0.77, 0.63
0.72, 0.65
0.67, 0.63
0.64, 0.6
0.62, 0.56
0.61, 0.5
0.61, 0.46
0.61, 0.42
0.59, 0.39
0.58, 0.36

# Path 3
path3
0,1
0.36, 0.6
0.38, 0.57
0.39, 0.52
0.38, 0.47
0.37, 0.44
0.35, 0.42
0.32, 0.4
0.29, 0.39
0.27, 0.4
0.24, 0.42
0.22, 0.44
0.21, 0.46
0.2, 0.5
0.2, 0.53
0.2, 0.56
0.21, 0.58
0.22, 0.6
0.24, 0.62
0.27, 0.63
0.29, 0.64
0.32, 0.63
0.35, 0.62
0.5, 0.45

# Path 4
path4
1, 1
0.64, 0.6
0.62, 0.57
0.61, 0.52
0.62, 0.47
0.63, 0.44
0.65, 0.42
0.68, 0.4
0.71, 0.39
0.73, 0.4
0.76, 0.42
0.78, 0.44
0.79, 0.46
0.8, 0.5
0.8, 0.53
0.8, 0.56
0.79, 0.58
0.78, 0.6
0.76, 0.62
0.73, 0.63
0.71, 0.64
0.68, 0.63
0.65, 0.62
0.5, 0.45
